

| # | Industry | Department | Trade | Specialization |
| 353 | Aviation & Aerospace | Quality & Inspection | Inspection | Aircraft Inspector |
| 354 | Construction | Engineering | Cost Engineering | Cost Estimator |
| 355 | Construction | Engineering | Architecture | Architect Project Manager |
| 356 | Construction | Health, Safety & Environment | HSE | Assistant Manager – HSE |
| 357 | Chemical / Fertilizers / Plastic / Rubber / Glass | Engineering | Process Engineering | Chemical Process Engineer |
| 358 | Courier / Transportation / Freight | Operations | Logistics Management | Delivery Manager / Head |
| 359 | Construction | Engineering | Electrical | Electrical CAD Designer |
| 360 | Construction | Quality & Inspection | Inspection | Electronic Control Inspector |
| 361 | Energy & Utilities | Operations | Energy Management | Energy Advisor |
| 362 | Construction | Engineering | MEP | HVAC Foreman |
| 363 | Oil & Gas | Engineering | Instrumentation & Control | Instrument Automation Engineer |
| 364 | Construction | Engineering | Mechanical | Mechanical Commissioning Engineer |
| 365 | Construction | Engineering | MEP | MEP Engineer |
| 366 | Mining | Operations | Mining Management | Mining Supervisor |
| 367 | Oil & Gas | Engineering | Piping | Piping Design Engineer |
| 368 | Construction | Engineering | Production Engineering | Production Engineer |
| 369 | Construction | Engineering | Production Engineering | Production Engineering Manager |
| 370 | Construction | Project Management | Project Management | Project Manager |
| 371 | Hospitality & Catering | Administration | Admin & Office Management | Administration Manager |
| 372 | Hospitality & Catering | Marketing & Communications | Advertising | Advertising Account Manager |
| 373 | Hospitality & Catering | Accounting & Finance | Finance | Assistant Finance Officer |
| 374 | Hospitality & Catering | Accounting & Finance | Audit & Tax | Audit & Tax Assistant |
| 375 | Hospitality & Catering | Administration | Admin & Office Management | Back Office Computer Operator |
| 376 | Hospitality & Catering | Sales & Business Development | Business Development | BD Associate |
| 377 | Insurance & Financial Services | Sales & Business Development | Insurance | Insurance Agent |
| 378 | Hospitality & Catering | Marketing & Communications | Market Research | Market Research – Client Servicing Manager |
| 379 | Hospitality & Catering | Marketing & Communications | Media Buying | Media Buying Manager |
| 380 | Hospitality & Catering | IT & Technology | IT Support & Operations | IT Support Specialist |
| 381 | Hospitality & Catering | IT & Technology | Cloud & Infrastructure | Network Systems Administrator |
| 382 | Hospitality & Catering | IT & Technology | Developer | Oracle HRMS Consultant |
| 383 | Hospitality & Catering | IT & Technology | Developer | Oracle Programmer |
| 384 | Hospitality & Catering | IT & Technology | Developer | UX & UI Developer |
| 385 | Construction | Quality & Inspection | Inspection | Building Inspector |
| 386 | Academic | Trainer | Commercial Trainer | Soft Skills Trainer |
| 387 | Academic | Trainer | Industrial Trainer | Mechanical Trainer |
| 388 | Hospitality & Catering | Health, Safety & Environment | HSE | Corporate HSE Manager |
| 389 | Hospitality & Catering | Operations | Plant Operations | DCS Control Room Operator |
| 390 | Hospitality & Catering | Operations | Plant Operations | Control Room Operator |
| 391 | Hospitality & Catering | Transport & Logistics | Driver | Other Driver |
| 392 | Hospitality & Catering | Operations | Heavy Equipment | Crawler Loader Operator |
| 393 | Hospitality & Catering | Housekeeping | Housekeeping Management | Director of Housekeeping |
| 394 | Hospitality & Catering | Food & Beverage | Chef / Cook | Grill Chef (Grillardin) |
| 395 | Hospitality & Catering | Food & Beverage | QSR & Fast Food | Catering Assistant |
| 396 | Healthcare | Allied Health | Alternative Medicine | Acupuncturist |
| 397 | Healthcare | Administration | Healthcare Admin | Billing Manager |
| 398 | Healthcare | Allied Health | Alternative Medicine | Chiropractor |
| 399 | Healthcare | Nursing | Clinical Nursing | Clinical Nurse |
| 400 | Healthcare | Administration | Healthcare Admin | Medical Coder |
| 401 | Healthcare | Dental | Dental Support | Dental Hygienist |
| 402 | Healthcare | Allied Health | Nutrition & Dietetics | Dietitian |
| 403 | Healthcare | Allied Health | Therapy | Diversional Therapist |
| 404 | Healthcare | Administration | Healthcare Admin | Doctorate in Administration |
| 405 | Healthcare | Emergency & Paramedics | Emergency Services | Emergency Technician |
| 406 | Healthcare | Pharmacy | Hospital Pharmacy | Hospital Pharmacist |
| 407 | Healthcare | Allied Health | Clinical Support | Physician Assistant (PA) |
| 408 | Healthcare | Veterinary | Animal Health | Veterinary Nurse |
| 409 | IT & Technology | IT & Technology | IT Support & Operations | IT Systems Administrator |
| 410 | IT & Technology | IT & Technology | Developer | Oracle Programmer |
| 411 | IT & Technology | IT & Technology | Developer | Oracle Specialist |
| 412 | IT & Technology | IT & Technology | Developer | Programmer |
| 413 | IT & Technology | IT & Technology | Developer | UX Developer |
| 414 | Healthcare | Administration | Healthcare Admin | Clinical Administrator |
| 415 | Healthcare | Administration | Healthcare Admin | Coding Educator |
| 416 | Healthcare | Dental | Dentistry | Dentist |
| 417 | Healthcare | Medical | Surgery | Doctorate – Civil Surgeon |
| 418 | Healthcare | Nursing | General Nursing | Enrolled Nurse (EN) |
| 419 | Healthcare | Allied Health | Therapy | Massage Therapist |
| 420 | Healthcare | Allied Health | Mental Health | Mental Health Support Worker |
| 421 | Healthcare | Allied Health | Nutrition & Dietetics | Nutrition & Dietetics Specialist |
| 422 | Healthcare | Pharmacy | Pharmaceutical Industry | Pharmaceutical Industry Specialist |
| 423 | Healthcare | Allied Health | Clinical Support | Physician Assistant |
| 424 | Healthcare | Veterinary | Animal Health | Veterinary Assistant |
| 425 | Academic | Trainer | Commercial Trainer | Teacher |
| 426 | Academic | Trainer | Industrial Trainer | Operations Trainer |
| 427 | Construction | Maintenance & Facilities | BMS / HVAC / Fire | Reliability Technician |
| 428 | Construction | Maintenance & Facilities | Instrumentation & Control | Electrical Technician – Maintenance |
| 429 | Construction | Operations | Carpentry | Docking Carpenter |
| 430 | Construction | Operations | Masonry | Mason – Finishing & Plaster |
| 431 | Aviation & Aerospace | Engineering | Aircraft Maintenance | Aircraft Maintenance Engineer |
| 432 | Construction | Quality & Inspection | QA / QC | QA/QC Coordinator |
| 433 | Construction | Engineering | Architecture | Architectural Technician |
| 434 | Construction | Health, Safety & Environment | HSE | Assistant Safety Manager |
| 435 | Chemical / Fertilizers / Plastic / Rubber / Glass | Engineering | Chemical Engineering | Chemical Project Engineer |
| 436 | Construction | Engineering | Electrical | Electrical Design & Estimation Engineer |
| 437 | Construction | Engineering | Electronics | Electronic Design Engineer |
| 438 | Energy & Utilities | Engineering | Energy Management | Energy Auditor |
| 439 | Construction | Engineering | Civil & Environmental | Environmental Engineer |
| 440 | Construction | Engineering | MEP | HVAC Maintenance Engineer |
| 441 | Construction | Engineering | Instrumentation & Control | Instrument Commissioning Engineer |
| 442 | Construction | Engineering | Mechanical | Mechanical Commissioning Technician |
| 443 | Construction | Engineering | MEP | MEP Estimation Engineer |
| 444 | Mining | Operations | Mining Management | Mine Shift Boss |
| 445 | Oil & Gas | Engineering | Piping | Piping Designer |
| 446 | Construction | Engineering | Production Engineering | Production Planning Engineer |
| 447 | Construction | Project Management | Planning & Scheduling | Project Scheduling Engineer |
| 448 | Oil & Gas | Engineering | Reservoir | Reservoir Head |
| 449 | Construction | Operations | Painting | Duco Painter |
| 450 | Construction | Operations | Plumbing | Plumber – Leadman |
| 451 | Construction | Marketing & Communications | Advertising | Advertising Account Planning Head |
| 452 | Construction | Human Resources | HR Management | Area HR Manager |
| 453 | Construction | Accounting & Finance | Finance | Assistant Manager – Finance & Accounts |
| 454 | Construction | Accounting & Finance | Audit & Tax | Audit Consultant |
| 455 | Construction | Administration | Admin & Office Management | Back Office Coordinator |
| 456 | Construction | Sales & Business Development | Business Development | BD Consultant |
| 457 | Insurance & Financial Services | Accounting & Finance | Insurance | Insurance Analyst – General Insurance |
| 458 | Construction | Marketing & Communications | Market Research | Market Research Analyst |
| 459 | Construction | Marketing & Communications | Media | Media Consultant |
| 460 | Construction | IT & Technology | Cloud & Infrastructure | Network Architect |
| 461 | Construction | IT & Technology | Developer | Oracle Specialist |
| 462 | Construction | IT & Technology | Developer | Programmer |
| 463 | Construction | IT & Technology | Cloud & Infrastructure | Senior Network Architect |
| 464 | Construction | IT & Technology | IT Support & Operations | Web Administrator |
| 465 | Construction | Quality & Inspection | Inspection | Chemical Inspector |
| 466 | Construction | Manufacturing | Fabrication | Fabricator – Carbon Steel (CS) |
| 467 | Construction | Manufacturing | Welding | Pipe Welder (4G) |
| 468 | Construction | Operations | Plant Operations | DCS Operator |
| 469 | Construction | Operations | Plant Operations | Control System Operator – DCS |
| 470 | Academic | Trainer | Commercial Trainer | Training Coordinator |
| 471 | Academic | Trainer | Industrial Trainer | Process Control Tech Trainer |
| 472 | Construction | Health, Safety & Environment | HSE | Deputy Manager – EHS |
| 473 | IT & Technology | IT & Technology | IT Support & Operations | Computer Analyst |
| 474 | Healthcare | Medical | Surgery | Doctorate – Surgeon |
| 475 | Healthcare | Administration | Healthcare Admin | Health Facilities Surveyor |
| 476 | Healthcare | Nursing | Mental Health Nursing | Mental Health Nurse |
| 477 | Healthcare | Allied Health | Alternative Medicine | Natural Therapy Specialist |
| 478 | Healthcare | Allied Health | Nutrition & Dietetics | Nutrition Assistant |
| 479 | Healthcare | Pharmacy | Pharmacy Support | Pharmacy Technician |
| 480 | Healthcare | Medical | Surgery | Physician / Surgeon |
| 481 | Healthcare | Medical | Psychiatry | Psychiatrist |
| 482 | Healthcare | Veterinary | Animal Health | Veterinary Technologist |
| 483 | IT & Technology | IT & Technology | Developer | Computer Programmer |
| 484 | Healthcare | Allied Health | Physiotherapy | Doctorate – Physiotherapy |
| 485 | Healthcare | Medical | General Practice | Family Physician |
| 486 | Healthcare | Administration | Healthcare Admin | Health Services Manager |
| 487 | Healthcare | Nursing | Midwifery | Midwife |
| 488 | Healthcare | Allied Health | Alternative Medicine | Naturopath |
| 489 | Healthcare | Allied Health | Nutrition & Dietetics | Nutritionist |
| 490 | Healthcare | Allied Health | Mental Health | Psychologist |
| 491 | Healthcare | Veterinary | Animal Health | Veterinary Technician |
| 492 | Hospitality & Catering | Transport & Logistics | Driver | Driver |
| 493 | Hospitality & Catering | Food & Beverage | Chef / Cook | Meat Chef (Rotisseur / Roast Chef) |
| 494 | Hospitality & Catering | Housekeeping | Cleaning & Sanitation | Cleaner |
| 495 | Aviation & Aerospace | Engineering | Aircraft Maintenance | Aircraft Specialist |
| 496 | Industrial Products & Heavy Machinery | Engineering | Project Management | Senior Project / Site Engineer |
| 497 | Construction | Sales & Business Development | Sales | Architecture Sales Executive / Manager |
| 498 | Chemical / Fertilizers / Plastic / Rubber / Glass | Engineering | Chemical Engineering | Chemical Project Manager |
| 499 | Industrial Products & Heavy Machinery | Health, Safety & Environment | HSE | Corporate HSE Manager |
| 500 | Industrial Products & Heavy Machinery | Engineering | Electrical | Electrical Design Engineer |
| 501 | Industrial Products & Heavy Machinery | Engineering | Electronics | Electronic Engineer |
| 502 | Energy & Utilities | Engineering | Energy Management | Energy Projects Coordinator |
| 503 | Industrial Products & Heavy Machinery | Engineering | Cost Engineering | Estimation Engineer |
| 504 | Industrial Products & Heavy Machinery | Engineering | MEP | HVAC Manager |
| 505 | Industrial Products & Heavy Machinery | Engineering | Instrumentation & Control | Instrument Control Engineer |
| 506 | Industrial Products & Heavy Machinery | Engineering | Mechanical | Mechanical Coordinator |
| 507 | Industrial Products & Heavy Machinery | Engineering | MEP | MEP Foreman |
| 508 | Oil & Gas | Engineering | Piping | Piping Draftsman |
| 509 | Industrial Products & Heavy Machinery | Engineering | Production Engineering | Production Project Manager |
| 510 | Industrial Products & Heavy Machinery | Quality & Inspection | QA / QC | Quality Fabrication Engineer |
| 511 | Mining | Engineering | Mining Engineering | Senior Mining Engineer |
| 512 | Industrial Products & Heavy Machinery | Quality & Inspection | Inspection | Civil Inspector |
| 513 | Industrial Products & Heavy Machinery | Health, Safety & Environment | HSE | Deputy Manager – Safety |
| 514 | Healthcare | Medical | Gynaecology & Obstetrics | Gynaecology / Obstetrics Specialist |
| 515 | Healthcare | Administration | Healthcare Admin | Healthcare Administrator |
| 516 | Healthcare | Laboratory | Lab Support | Laboratory Animal Technician |
| 517 | Healthcare | Allied Health | Medical Imaging | Medical Imaging Technologist |
| 518 | Healthcare | Nursing | Nursing Education | Nurse Educator & Researcher |
| 519 | Healthcare | Allied Health | Therapy | Occupational Therapist |
| 520 | Healthcare | Allied Health | Mental Health | Psychotherapist / Counselor |
| 521 | Courier / Transportation / Freight | Transport & Logistics | Driver | Salesman cum Driver |
| 522 | Construction | Operations | Heavy Equipment | Crane Operator |
| 523 | IT & Technology | IT & Technology | Cloud & Infrastructure | Network Engineer |
| 524 | IT & Technology | IT & Technology | Developer | Programmer |
| 525 | IT & Technology | IT & Technology | Developer | Programmer Analyst |
| 526 | IT & Technology | IT & Technology | Cloud & Infrastructure | Senior Network Engineer |
| 527 | IT & Technology | IT & Technology | Developer | Web Developer |
| 528 | IT & Technology | IT & Technology | Cloud & Infrastructure | Operation Technology Network Specialist |
| 529 | IT & Technology | IT & Technology | Developer | Programmer Analyst |
| 530 | IT & Technology | IT & Technology | Developer | SAP ABAP Consultant |
| 531 | IT & Technology | IT & Technology | Cloud & Infrastructure | Senior Network System Administrator |
| 532 | IT & Technology | IT & Technology | IT Support & Operations | Other IT Support Service Staff |
| 533 | IT & Technology | IT & Technology | Developer | SAP ABAP Consultant |
| 534 | IT & Technology | IT & Technology | Developer | SAP Engineering Consultant |
| 535 | Telecommunications | IT & Technology | Cloud & Infrastructure | Telecommunications Specialist |
| 536 | IT & Technology | IT & Technology | IT Support & Operations | PC Lead Technician |
| 537 | IT & Technology | IT & Technology | Developer | SAP Engineering Consultant |
| 538 | IT & Technology | IT & Technology | Developer | SAP FICO Consultant |
| 539 | Manufacturing | Marketing & Communications | Advertising | Advertising Account Planning Manager |
| 540 | Manufacturing | Accounting & Finance | Finance | Associate General Manager – Finance |
| 541 | Manufacturing | Accounting & Finance | Audit & Tax | Audit Coordinator |
| 542 | Manufacturing | Administration | Admin & Office Management | Back Office Executive |
| 543 | Manufacturing | Administration | Admin & Office Management | Back Office Operator |
| 544 | Manufacturing | Sales & Business Development | Business Development | BD Coordinator |
| 545 | Insurance & Financial Services | Accounting & Finance | Insurance | Insurance Analyst – Life Insurance |
| 546 | Manufacturing | Marketing & Communications | Market Research | Market Research Executive |
| 547 | Manufacturing | Marketing & Communications | Media | Media Coordinator |
| 548 | Manufacturing | Transport & Logistics | Driver | Heavy Driver (Truck / Lorry) |
| 549 | Manufacturing | Operations | Heavy Equipment | Concrete Pump Operator |
| 550 | Manufacturing | Engineering | Technical Writing | Specification Writer |
| 551 | Aviation & Aerospace | Operations | Aviation Management | Assistant Aviation Officer |
| 552 | Manufacturing | Engineering | Chemical Engineering | Chemical Specialist |
| 553 | Manufacturing | Engineering | Civil & Architecture | Civil Architecture Engineer |
| 554 | Manufacturing | Health, Safety & Environment | HSE | Deputy Manager – EHS |
| 555 | Manufacturing | Engineering | Electrical | Electrical Draftsman |
| 556 | Manufacturing | Engineering | Instrumentation & Control | Electronic Instrument Engineer |
| 557 | Energy & Utilities | Engineering | Energy Management | Energy Specialist |
| 558 | Manufacturing | Engineering | Production Engineering | Factory Engineer |
| 559 | Manufacturing | Engineering | MEP | HVAC Mechanical Engineer |
| 560 | Manufacturing | Engineering | Instrumentation & Control | Instrument Design Engineer |
| 561 | Mining | Engineering | Mining Engineering | Junior Mining Engineer |
| 562 | Manufacturing | Engineering | Mechanical | Mechanical Design Engineer |
| 563 | Construction | Engineering | MEP | MEP Head |
| 564 | Oil & Gas | Engineering | Piping | Piping Draughtsman |
| 565 | Manufacturing | Engineering | Production Engineering | Production Specialist |
| 566 | Manufacturing | Quality & Inspection | QA / QC | Quality Site Engineer |
| 567 | Manufacturing | IT & Technology | IT Support & Operations | PC Specialist |
| 568 | Manufacturing | IT & Technology | Developer | SAP FICO Consultant |
| 569 | Manufacturing | IT & Technology | Developer | SAP Functional Consultant |
| 570 | Manufacturing | IT & Technology | IT Support & Operations | Webmaster |
| 571 | Manufacturing | Quality & Inspection | Inspection | Coating & Painting Inspector |
| 572 | Manufacturing | Operations | Carpentry | Finishing Carpenter |
| 573 | Manufacturing | Operations | Masonry | Mason – Marble / Granite Fixer |
| 574 | Manufacturing | Manufacturing | Fabrication | Fabricator – HDPE |
| 575 | Manufacturing | Operations | Painting | Furniture Painter |
| 576 | Manufacturing | Operations | Plumbing | Plumber – Mechanical Fitter |
| 577 | Manufacturing | Manufacturing | Welding | Plastic Welder |
| 578 | Manufacturing | Operations | Plant Operations | DCS / Panel Operator |
| 579 | Manufacturing | Operations | Plant Operations | Hydraulic Test Operator |
| 580 | Academic | Trainer | Industrial Trainer | Process Trainer |
| 581 | Oil & Gas | Health, Safety & Environment | HSE | Drilling HSE Advisor |
| 582 | Media & Creative | IT & Technology | Developer | SAP Functional Consultant |
| 583 | Media & Creative | IT & Technology | Developer | SAP HCM Consultant |
| 584 | Media & Creative | IT & Technology | Cloud & Infrastructure | Senior Network Architect |
| 585 | Healthcare | Administration | Healthcare Admin | Healthcare Management Specialist |
| 586 | Healthcare | Administration | Healthcare Admin | MBA – Medical Management |
| 587 | Healthcare | Laboratory | Lab Support | Medical Laboratory Technician |
| 588 | Healthcare | Nursing | Nursing Management | Nurse Manager |
| 589 | Healthcare | Allied Health | Physiotherapy | Physiotherapist |
| 590 | Construction | Maintenance & Facilities | BMS / HVAC / Fire | Auto Electrician Technician |
| 591 | Construction | Maintenance & Facilities | Instrumentation & Control | Electrical Technician |
| 592 | Mining | Transport & Logistics | Driver | Van Driver |
| 593 | Mining | Operations | Heavy Equipment | Bulldozer Operator |
| 594 | Oil & Gas | Engineering | Design & Drafting | 3D Mechanical Design |
| 595 | Oil & Gas | Engineering | Acoustic Engineering | Acoustic Engineer |
| 596 | Oil & Gas | Manufacturing | Fabrication | Aluminium Fabricator |
| 597 | Oil & Gas | Marine & Offshore | Asset & Marine Planning | Asset & Marine Planner |
| 598 | Oil & Gas | Maintenance & Facilities | Asset Maintenance | Asset Maintenance Technician |
| 599 | Oil & Gas | Operations | Asset Management | Asset Manager |
| 600 | Oil & Gas | Operations | Drilling | Assistant Driller |
| 601 | Oil & Gas | Engineering | Design & Drafting | AutoCAD Draughtsman |
| 602 | Oil & Gas | Operations | Drilling | BOP Maintenance Technician |
| 603 | Hospitality & Catering | Food & Beverage | Catering | Catering – General |
| 604 | Oil & Gas | Operations | Chemical Operations | Chemical Plant Operator |
| 605 | Oil & Gas | Operations | Well Services | Coiled Tubing Personnel |
| 606 | Oil & Gas | Operations | Control Room | Control Room Operator |
| 607 | Oil & Gas | Maintenance & Facilities | Lifting & Rigging | Crane Health Check Specialist |
| 608 | Oil & Gas | Operations | Drilling | Derrickman |
| 609 | Oil & Gas | Operations | Carpentry | Gypsum Carpenter |
| 610 | Oil & Gas | Operations | Masonry | Mason – Refractory |
| 611 | Oil & Gas | Operations | Painting | Industrial Painter |
| 612 | Oil & Gas | Operations | Plumbing | Pipe Fitter / Plumber |
| 613 | Oil & Gas | Marketing & Communications | Advertising | Advertising Group Account Manager |
| 614 | Oil & Gas | Accounting & Finance | Audit & Tax | Audit Trainee |
| 615 | Oil & Gas | Administration | Admin & Office Management | Back Office Incharge |
| 616 | Oil & Gas | Accounting & Finance | Finance | Bad Debts / Workouts Manager |
| 617 | Oil & Gas | Sales & Business Development | Business Development | BD Director |
| 618 | Oil & Gas | Administration | Admin & Office Management | Data Entry Operator |
| 619 | Insurance & Financial Services | Sales & Business Development | Insurance | Insurance Associate |
| 620 | Oil & Gas | Marketing & Communications | Market Research | Market Research Field Executive |
| 621 | Oil & Gas | Marketing & Communications | Media | Media Planning Manager |
| 622 | Oil & Gas | Maintenance & Facilities | BMS / HVAC / Fire | Biomedical Equipment Technician |
| 623 | Oil & Gas | Maintenance & Facilities | Instrumentation & Control | Instrument Technician – Construction |
| 624 | Aviation & Aerospace | Engineering | Aviation Engineering | Aviation Engineer |
| 625 | Oil & Gas | Operations | Chemical Operations | Chemical Superintendent |
| 626 | Construction | Engineering | Civil | Civil Audio/Visual Specialist |
| 627 | Oil & Gas | Health, Safety & Environment | HSE | Deputy Manager – Safety |
| 628 | Oil & Gas | Engineering | Design & Drafting | Draftsman / Draughtsman |
| 629 | Oil & Gas | Engineering | Electrical | Electrical Draughtsman |
| 630 | Oil & Gas | Engineering | Electronics | Electronic Maintenance Engineer |
| 631 | Energy & Utilities | Engineering | Energy Management | Evaluation Energy Engineer |
| 632 | Manufacturing | Operations | Production Management | Factory Manager |
| 633 | Oil & Gas | Engineering | MEP | HVAC Operation Engineer |
| 634 | Oil & Gas | Engineering | Instrumentation & Control | Instrument Engineer |
| 635 | Oil & Gas | Engineering | Mechanical | Mechanical Draftsman |
| 636 | Oil & Gas | Engineering | MEP | MEP Maintenance Engineer |
| 637 | Mining | Engineering | Mining Engineering | Mining Engineer |
| 638 | Oil & Gas | Engineering | Piping | Piping Engineer |
| 639 | Oil & Gas | Engineering | Production Engineering | Production Support Engineer |
| 640 | Oil & Gas | Quality & Inspection | Welding QA | Quality Welding Engineer |
| 641 | IT & Technology | IT & Technology | Developer | SAP HCM Consultant |
| 642 | IT & Technology | IT & Technology | Developer | SAP HR Consultant |
| 643 | IT & Technology | IT & Technology | Cloud & Infrastructure | Senior Network Engineer |
| 645 | Oil & Gas | Transport & Logistics | Driver | Bus Driver |
| 646 | Oil & Gas | Manufacturing | Fabrication | Fabricator – Outfitter / Aluminium |
| 647 | Oil & Gas | Operations | Heavy Equipment | Boom Truck Operator |
| 648 | Oil & Gas | Operations | Plant Operations | DCS / Field Lead Operator |
| 649 | Oil & Gas | Manufacturing | CNC Operations | Machine Operator |
| 650 | Oil & Gas | Manufacturing | Welding | Steel Welder |
| 651 | Academic | Trainer | Industrial Trainer | Safety Trainer |
| 652 | Oil & Gas | Health, Safety & Environment | HSE | EHS Advisor |
| 653 | Healthcare | Allied Health | Clinical Support | Healthcare Specialist |
| 654 | Healthcare | Research & Science | Medical Research | Medical Research Scientist |
| 655 | Healthcare | Nursing | Advanced Nursing | Nurse Practitioner |
| 656 | Healthcare | Allied Health | Optometry | Optometrist |
| 657 | Healthcare | Allied Health | Respiratory Therapy | Respiratory / Inhalation Therapist |
| 658 | Hospitality & Catering | Front Office & Guest Services | Front Office | Front Office Manager |
| 659 | Hospitality & Catering | Food & Beverage | Chef / Cook | Pantry Chef (Garde Manger) |
| 660 | Hospitality & Catering | Food & Beverage | QSR & Fast Food | Food Inspector |
| 661 | Healthcare | Administration | Healthcare Admin | Hospital Administration |
| 662 | Healthcare | Medical | Surgery | Physician / Surgeon |
| 663 | Healthcare | Nursing | General Nursing | Registered Nurse (RN) |
| 664 | Healthcare | Research & Science | Medical Research | Research Assistant |
| 665 | Healthcare | Allied Health | Therapy | Therapist |
| 666 | Oil & Gas | Operations | Plant Operations | DCS Panel Operator |
| 667 | Oil & Gas | Manufacturing | Production | Packing Machine Operator ||
| 668 | Oil & Gas | Operations | Carpentry | Marine Carpenter |
| 669 | Oil & Gas | Operations | Masonry | Mason – Tile Fixer |
| 670 | Oil & Gas | Operations | Painting | Painter |
| 671 | Oil & Gas | Operations | Plumbing | Sanitary Ware Fitter |
| 672 | Oil & Gas | Maintenance & Facilities | BMS / HVAC / Fire | BMS Technician |
| 673 | Oil & Gas | Maintenance & Facilities | Instrumentation & Control | Instrument Technician – Maintenance |
| 674 | Aviation & Aerospace | Health, Safety & Environment | HSE | Aviation Fire Fighter |
| 675 | Oil & Gas | Engineering | Chemical Engineering | Chemical Technician |
| 676 | Oil & Gas | Engineering | Civil | Civil CAD Specialist |
| 677 | Oil & Gas | Health, Safety & Environment | HSE | EHS Advisor |
| 678 | Oil & Gas | Engineering | Electrical | Electrical Engineer |
| 679 | Oil & Gas | Engineering | Electronics | Electronic Service Engineer |
| 680 | Energy & Utilities | Operations | Renewable Energy | Field Solar Consultant |
| 681 | Oil & Gas | Operations | Production | Floor Supervisor |
| 682 | Oil & Gas | Engineering | MEP | HVAC Project Engineer |
| 683 | Construction | Engineering | Architecture | Industrial Architect |
| 684 | Oil & Gas | Engineering | Instrumentation & Control | Instrument Incharge |
| 685 | Oil & Gas | Engineering | Mechanical | Mechanical Draughtsman |
| 686 | Oil & Gas | Engineering | MEP | MEP Manager |
| 687 | Mining | Engineering | Mining Engineering | Mining Engineer |
| 688 | Oil & Gas | Engineering | Piping | Piping Field Engineer |
| 689 | Oil & Gas | Engineering | Asset Integrity | Reliability Engineer |
| 690 | Oil & Gas | Engineering | Production Engineering | Senior Production Engineer |
| 691 | IT & Technology | IT & Technology | Developer | SAP HR Consultant |
| 692 | IT & Technology | IT & Technology | Developer | Senior Applications Engineer |
| 693 | IT & Technology | IT & Technology | IT Support & Operations | Senior Support Specialist |
| 694 | Oil & Gas | Quality & Inspection | Welding Inspection | CWI Inspector |
| 695 | Oil & Gas | Manufacturing | Fabrication | Fabricator – Outfitter / Structural |
| 696 | Oil & Gas | Manufacturing | Welding | Structural Welder |
| 697 | Oil & Gas | Health, Safety & Environment | HSE | EHS Consultant |
| 698 | Academic | Trainer | Industrial Trainer | Senior Process Trainer |
| 699 | Oil & Gas | Engineering | Design & Drafting | 3D Modeling |
| 700 | Oil & Gas | Manufacturing | Fabrication | Aluminium Fitter |
| 701 | Oil & Gas | Engineering | Geology | Applied Geology |
| 702 | Oil & Gas | Marine & Offshore | Deck Operations | Ballast Control Operator |
| 703 | Oil & Gas | Marine & Offshore | Barge Operations | Barge Engineer |
| 704 | Oil & Gas | Accounting & Finance | Accounts | Bookkeeper |
| 705 | Oil & Gas | Health, Safety & Environment | HSE | BOSIET Certified – Emergency Response |
| 706 | Oil & Gas | Maintenance & Facilities | General Maintenance | Building Maintenance Technician |
| 707 | Oil & Gas | Engineering | Design & Drafting | CAD / CAM Operator |
| 708 | Oil & Gas | Operations | Well Services | Cement Supervisor |
| 709 | Oil & Gas | Operations | Chemical Operations | Chemical Process Technician |
| 710 | Oil & Gas | Maintenance & Facilities | Mechanical | Diesel Mechanic |
| 711 | Oil & Gas | Engineering | Design & Drafting | Draughtsman |
| 712 | Oil & Gas | Health, Safety & Environment | HSE | Emergency Response Supervisor / Foreman |
| 713 | Oil & Gas | Operations | Well Services | Fracturing Specialist |
| 714 | Oil & Gas | Transport & Logistics | Driver | Ambulance Driver |
| 715 | Oil & Gas | Operations | Heavy Equipment | Backhoe Operator |
| 716 | Oil & Gas | Operations | Well Services | Acid Engineer |
| 717 | Oil & Gas | Engineering | Research & Science | Application Scientist |
| 718 | Oil & Gas | Marine & Offshore | Barge Operations | Barge Master |
| 719 | Oil & Gas | Operations | Painting | Blasting & Painting Technician |
| 720 | Oil & Gas | Administration | Business Analysis | Business Analyst |
| 721 | Oil & Gas | Engineering | Design & Drafting | CAD / CAM Specialist |
| 722 | Oil & Gas | Operations | Drilling | Casing Crew |
| 723 | Oil & Gas | Operations | Drilling | Casing Floorhand |
| 724 | Oil & Gas | Operations | Well Services | Cementing Manager |
| 725 | Oil & Gas | Engineering | Corrosion | Chemical Corrosion Engineer |
| 726 | Oil & Gas | Operations | Control Room | Control Room Supervisor |
| 727 | Oil & Gas | Operations | Drilling | Directional Driller |
| 728 | Oil & Gas | Operations | Drilling | Dynamic Pressure Management (MPD / UBD) |
| 729 | Oil & Gas | Health, Safety & Environment | Environmental | Environmental Engineer |
| 730 | Oil & Gas | Operations | Gas Plant | Gas Plant Operator |
| 731 | Oil & Gas | Laboratory & Quality | Chemical Analysis | Analytical Chemist |
| 732 | Oil & Gas | Engineering | Geology | Applied Geology |
| 733 | Oil & Gas | Sales & Business Development | Business Development | Business Development Executive |
| 734 | Oil & Gas | Marine & Offshore | Vessel Command | Captain / Master |
| 735 | Oil & Gas | Operations | Drilling | Casing Operator |
| 736 | Oil & Gas | Engineering | Chemical Engineering | Chemical Engineer |
| 737 | Oil & Gas | Operations | Well Services | Coil Tubing Supervisor |
